,County,Percent Hispanic or Latino,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or more races,percent_english,percent_spanish,percent_other,percent_english_very_well,percent_english_not_very_well,median_earnings,Pop18_24,over_25_HS_grad_or_higher,18_24_less_HS_HSgrad,18_24_associate_bachelor,over_25_less_than_HS,Pop_over25,Hs_and_less,Hs_and_more,Population,%Hs_and_less
0,"Atlantic County, New Jersey",19.4,55.9,13.7,0.2,7.8,0.2,0.1,2.7,79.4,11.1,9.5,92.6,7.4,45935,24683,160782,9754,14929,22710,183492,32464,175711,208175,84.4
1,"Bergen County, New Jersey",21.0,55.0,5.1,0.1,16.4,0.1,0.3,2.0,64.5,14.0,21.5,89.0,11.0,72267,74163,614966,23791,50372,46763,661729,70554,665338,735892,90.4
2,"Burlington County, New Jersey",8.5,66.4,16.4,0.0,5.1,0.0,0.4,3.2,88.4,3.9,7.7,96.6,3.4,61748,36899,297585,16483,20416,18706,316291,35189,318001,353190,90.0
3,"Camden County, New Jersey",17.6,55.6,18.4,0.1,5.7,0.0,0.5,2.2,84.6,9.7,5.7,94.4,5.6,51486,41040,315138,18797,22243,36288,351426,55085,337381,392466,86.0
4,"Cape May County, New Jersey",8.1,85.0,4.2,0.0,0.5,0.0,0.0,2.2,95.5,2.4,2.1,99.0,1.0,51483,6132,65427,3399,2733,4530,69957,7929,68160,76089,89.6
5,"Cumberland County, New Jersey",31.8,45.4,18.0,0.9,1.2,0.0,0.0,2.6,78.7,17.8,3.5,92.0,8.0,34905,11270,83405,6306,4964,19296,102701,25602,88369,113971,77.5
6,"Essex County, New Jersey",23.8,29.8,38.4,0.2,5.4,0.0,0.9,1.5,70.6,15.8,13.5,90.1,9.9,51029,69333,469019,32059,37274,71245,540264,103304,506293,609597,83.1
7,"Gloucester County, New Jersey",6.7,77.7,10.3,0.0,3.1,0.0,0.1,2.0,91.0,3.9,5.1,97.9,2.1,64004,25981,188357,8571,17410,14199,202556,22770,205767,228537,90.0
8,"Hudson County, New Jersey",42.7,28.8,10.3,0.1,15.3,0.0,0.5,2.2,50.9,32.8,16.3,81.7,18.3,58372,52068,414752,18414,33654,69044,483796,87458,448406,535864,83.7
9,"Hunterdon County, New Jersey",7.0,84.3,2.4,0.0,4.2,0.0,0.5,1.6,90.6,2.7,6.7,98.1,1.9,80882,9882,85578,4480,5402,5199,90777,9679,90980,100659,90.4
10,"Mercer County, New Jersey",18.5,48.2,19.4,0.2,11.8,0.1,0.1,1.8,77.0,9.7,13.3,92.5,7.5,57023,41153,220328,13037,28116,27887,248215,40924,248444,289368,85.9
11,"Middlesex County, New Jersey",22.1,41.6,9.2,0.1,24.4,0.1,0.4,2.2,60.6,16.3,23.2,88.7,11.3,65047,76973,506264,26503,50470,63377,569641,89880,556734,646614,86.1
12,"Monmouth County, New Jersey",11.1,74.9,6.7,0.0,5.3,0.0,0.3,1.6,85.0,5.3,9.7,95.9,4.1,76140,49925,416223,17222,32703,23044,439267,40266,448926,489192,91.8
13,"Morris County, New Jersey",13.9,70.3,3.3,0.0,10.8,0.0,0.3,1.5,80.5,7.3,12.2,94.3,5.7,81064,41892,329541,15156,26736,17933,347474,33089,356277,389366,91.5
14,"Ocean County, New Jersey",9.5,84.1,3.0,0.0,1.6,0.0,0.2,1.5,90.4,3.7,5.9,98.1,1.9,60454,43993,387077,16012,27981,29426,416503,45438,415058,460496,90.1
15,"Passaic County, New Jersey",42.9,40.3,10.4,0.1,5.1,0.0,0.1,1.0,59.9,27.7,12.4,83.5,16.5,48493,48205,285611,26053,22152,48992,334603,75045,307763,382808,80.4
16,"Salem County, New Jersey",9.8,73.2,12.7,0.3,1.1,0.4,0.2,2.3,,,,,,57340,5015,38801,1626,3389,5440,44241,7066,42190,49256,85.7
17,"Somerset County, New Jersey",15.2,53.6,9.5,0.1,18.5,0.0,1.8,1.3,71.4,9.9,18.7,93.4,6.6,81377,27734,217673,9386,18348,12770,230443,22156,236021,258177,91.4
18,"Sussex County, New Jersey",9.2,84.9,2.4,0.0,1.8,0.0,0.1,1.5,90.3,4.3,5.4,97.6,2.4,68713,11404,96107,4783,6621,5731,101838,10514,102728,113242,90.7
19,"Union County, New Jersey",32.8,37.8,19.9,0.1,5.3,0.0,2.5,1.6,63.8,21.4,14.8,87.5,12.5,52001,46439,327864,17470,28969,51989,379853,69459,356833,426292,83.7
20,"Warren County, New Jersey",10.2,80.2,4.7,0.0,2.3,0.0,0.3,2.3,90.8,4.7,4.5,98.1,1.9,67667,8753,71112,3013,5740,5050,76162,8063,76852,84915,90.5
