,county,total,total_speak_only_english,total_speak_other_language,total_speak_other_language_spanish,total_speak_other_language_other,percent,percent_speak_only_english,percent_speak_other_language,percent_speak_other_language_spanish,percent_speak_other_language_other,speak_english_very_well,speak_english_very_well_only_english,speak_english_very_well_other_language,speak_english_very_well_other_language_spanish,speak_english_very_well_other_language_other,percent_speak_english_very_well,percent_speak_english_very_well_only_english,percent_speak_english_very_well_other_language,percent_speak_english_very_well_other_language_spanish,percent_speak_english_very_well_other_language_other,speak_english_not_very_well,speak_english_not_very_well_only_english,speak_english_not_very_well_other_language,speak_english_not_very_well_other_language_spanish,speak_english_not_very_well_other_language_other,percent_speak_english_not_very_well,percent_speak_english_not_very_well_only_english,percent_speak_english_not_very_well_other_language,percent_speak_english_not_very_well_other_language_spanish,percent_speak_english_not_very_well_other_language_other
0,"Atlantic County, New Jersey",191437.0,152012.0,39425.0,21276.0,18149.0,100.0,79.4,20.6,11.1,9.5,177185.0,100.0,25173.0,14092.0,11081.0,92.6,100.0,63.9,66.2,61.1,14252.0,100.0,14252.0,7184.0,7068.0,7.4,100.0,36.1,33.8,38.9
1,"Bergen County, New Jersey",647514.0,417720.0,229794.0,90871.0,138923.0,100.0,64.5,35.5,14.0,21.5,576222.0,100.0,158502.0,64339.0,94163.0,89.0,100.0,69.0,70.8,67.8,71292.0,100.0,71292.0,26532.0,44760.0,11.0,100.0,31.0,29.2,32.2
2,"Burlington County, New Jersey",339881.0,300486.0,39395.0,13364.0,26031.0,100.0,88.4,11.6,3.9,7.7,328383.0,100.0,27897.0,10486.0,17411.0,96.6,100.0,70.8,78.5,66.9,11498.0,100.0,11498.0,2878.0,8620.0,3.4,100.0,29.2,21.5,33.1
3,"Camden County, New Jersey",371846.0,314609.0,57237.0,36173.0,21064.0,100.0,84.6,15.4,9.7,5.7,350972.0,100.0,36363.0,22977.0,13386.0,94.4,100.0,63.5,63.5,63.5,20874.0,100.0,20874.0,13196.0,7678.0,5.6,100.0,36.5,36.5,36.5
4,"Cape May County, New Jersey",73000.0,69743.0,3257.0,1758.0,1499.0,100.0,95.5,4.5,2.4,2.1,72238.0,100.0,2495.0,1286.0,1209.0,99.0,100.0,76.6,73.2,80.7,762.0,100.0,762.0,472.0,290.0,1.0,100.0,23.4,26.8,19.3
5,"Cumberland County, New Jersey",103230.0,81198.0,22032.0,18383.0,3649.0,100.0,78.7,21.3,17.8,3.5,94995.0,100.0,13797.0,11138.0,2659.0,92.0,100.0,62.6,60.6,72.9,8235.0,100.0,8235.0,7245.0,990.0,8.0,100.0,37.4,39.4,27.1
6,"Essex County, New Jersey",514442.0,363293.0,151149.0,81487.0,69662.0,100.0,70.6,29.4,15.8,13.5,463536.0,100.0,100243.0,53337.0,46906.0,90.1,100.0,66.3,65.5,67.3,50906.0,100.0,50906.0,28150.0,22756.0,9.9,100.0,33.7,34.5,32.7
7,"Gloucester County, New Jersey",223939.0,203742.0,20197.0,8838.0,11359.0,100.0,91.0,9.0,3.9,5.1,219180.0,100.0,15438.0,6659.0,8779.0,97.9,100.0,76.4,75.3,77.3,4759.0,100.0,4759.0,2179.0,2580.0,2.1,100.0,23.6,24.7,22.7
8,"Hudson County, New Jersey",399934.0,203484.0,196450.0,131287.0,65163.0,100.0,50.9,49.1,32.8,16.3,326831.0,100.0,123347.0,78287.0,45060.0,81.7,100.0,62.8,59.6,69.1,73103.0,100.0,73103.0,53000.0,20103.0,18.3,100.0,37.2,40.4,30.9
9,"Hunterdon County, New Jersey",95513.0,86569.0,8944.0,2538.0,6406.0,100.0,90.6,9.4,2.7,6.7,93709.0,100.0,7140.0,2064.0,5076.0,98.1,100.0,79.8,81.3,79.2,1804.0,100.0,1804.0,474.0,1330.0,1.9,100.0,20.2,18.7,20.8
