County,ballots_cast,ballots_rejected,percent_rejected,Percent_Ballots_Cast_Dem,Percent_Ballots_Cast_Repub,Percent_Ballots_Cast_Unaff,Percent_Ballots_Cast_Other,Dem_Ballots_Cast,Other_Ballots_Cast,Repub_Ballots_Cast,Unaff_Ballots_Cast,Dem_Ballots_Rejected,Other_Ballots_Rejected,Repub_Ballots_Rejected,Unaff_Ballots_Rejected,Percent_Dem_Ballots_Rejected,Percent_Repub_Ballots_Rejected,Percent_Other_Ballots_Rejected,Percent_Unaff_Ballots_Rejected,Percent Hispanic or Latino,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or more races,percent_english,percent_spanish,percent_other,percent_english_very_well,percent_english_not_very_well,median_earnings,HS_and_less,more_than_HS,%HS_and_less,more_than_HS%
Atlantic,135484,910,0.6716660269847362,38.17129697971716,31.50851761093561,29.313424463405273,1.0067609459419562,51716,1364,42689,39715,280.0,32.0,178.0,420.0,0.5,0.4,2.3,1.1,19.4,55.9,13.7,0.2,7.8,0.2,0.1,2.7,79.4,11.1,9.5,92.6,7.4,45935,32464,175711,15.6,84.4
Bergen,476733,5986,1.2556294613546786,40.95479020751658,23.590563271265047,34.72404889109837,0.7305976301200043,195245,3483,112464,165541,2118.0,111.0,1272.0,2485.0,1.1,1.1,3.2,1.5,21.0,55.0,5.1,0.1,16.4,0.1,0.3,2.0,64.5,14.0,21.5,89.0,11.0,72267,70554,665338,9.6,90.4
Burlington,253339,1911,0.7543252321987535,42.2315553467883,27.698459376566575,29.278555611256063,0.7914296653890638,106989,2005,70171,74174,673.0,32.0,389.0,817.0,0.6,0.6,1.6,1.1,8.5,66.4,16.4,0.0,5.1,0.0,0.4,3.2,88.4,3.9,7.7,96.6,3.4,61748,35189,318001,10.0,90.0
Camden,246440,703,0.2852621327706541,52.86925823729914,17.708570037331604,28.477925661418602,0.9442460639506575,130291,2327,43641,70181,309.0,5.0,81.0,328.0,0.2,0.2,0.2,0.5,17.6,55.6,18.4,0.1,5.7,0.0,0.5,2.2,84.6,9.7,5.7,94.4,5.6,51486,55085,337381,14.0,86.0
Cape May,56565,367,0.6488111022717228,26.306019623442054,45.342526297180235,27.642535136568547,0.7089189428091576,14880,401,25648,15636,59.0,4.0,141.0,164.0,0.4,0.5,1.0,1.0,8.1,85.0,4.2,0.0,0.5,0.0,0.0,2.2,95.5,2.4,2.1,99.0,1.0,51483,7929,68160,10.4,89.6
Cumberland,60047,761,1.267340583209819,39.633953403167524,27.545089679750863,31.488667210684962,1.332289706396656,23799,800,16540,18908,241.0,19.0,141.0,361.0,1.0,0.9,2.4,1.9,31.8,45.4,18.0,0.9,1.2,0.0,0.0,2.6,78.7,17.8,3.5,92.0,8.0,34905,25602,88369,22.5,77.5
Essex,307537,2184,0.7101584524788886,57.28221319711124,11.854833727323868,30.258147800102105,0.6048052754627898,176164,1860,36458,93055,1115.0,23.0,188.0,858.0,0.6,0.5,1.2,0.9,23.8,29.8,38.4,0.2,5.4,0.0,0.9,1.5,70.6,15.8,13.5,90.1,9.9,51029,103304,506293,16.9,83.1
Gloucester,170985,100,0.05848466239728632,42.05398134339269,26.179489428897273,30.837792788841128,0.9287364388689067,71906,1588,44763,52728,35.0,0.0,26.0,39.0,0.0,0.1,0.0,0.1,6.7,77.7,10.3,0.0,3.1,0.0,0.1,2.0,91.0,3.9,5.1,97.9,2.1,64004,22770,205767,10.0,90.0
Hudson,224243,5605,2.499520609338976,61.905165378629434,10.421284053459862,26.56760746154841,1.1059431063622944,138818,2480,23369,59576,3033.0,142.0,628.0,1802.0,2.2,2.7,5.7,3.0,42.7,28.8,10.3,0.1,15.3,0.0,0.5,2.2,50.9,32.8,16.3,81.7,18.3,58372,87458,448406,16.3,83.7
Hunterdon,84247,618,0.7335572780039645,28.574311251439223,41.55162795114366,29.239023348012395,0.6350374494047265,24073,535,35006,24633,99.0,12.0,232.0,277.0,0.4,0.7,2.2,1.1,7.0,84.3,2.4,0.0,4.2,0.0,0.5,1.6,90.6,2.7,6.7,98.1,1.9,80882,9679,90980,9.6,90.4
Mercer,169955,1314,0.7731458327204259,47.60495425259628,16.915654143743932,34.46853578888529,1.0108558147744993,80907,1718,28749,58581,558.0,32.0,180.0,544.0,0.7,0.6,1.9,0.9,18.5,48.2,19.4,0.2,11.8,0.1,0.1,1.8,77.0,9.7,13.3,92.5,7.5,57023,40924,248444,14.1,85.9
Middlesex,355993,6837,1.920543381470984,46.08658035410809,17.443882323528833,35.49816990783526,0.9713674145278137,164065,3458,62099,126371,2534.0,170.0,918.0,3217.0,1.5,1.5,4.9,2.5,22.1,41.6,9.2,0.1,24.4,0.1,0.4,2.2,60.6,16.3,23.2,88.7,11.3,65047,89880,556734,13.9,86.1
Monmouth,377148,5403,1.4325941009895318,30.591438904621,30.918101116802955,37.57437398580928,0.9160859927667653,115375,3455,116607,141711,1412.0,107.0,1530.0,2355.0,1.2,1.3,3.1,1.7,11.1,74.9,6.7,0.0,5.3,0.0,0.3,1.6,85.0,5.3,9.7,95.9,4.1,76140,40266,448926,8.2,91.8
Morris,293123,1122,0.3827744666914572,30.459909321342916,36.89543297523565,31.884908383170206,0.7597493202512255,89285,2227,108149,93462,320.0,41.0,349.0,530.0,0.4,0.3,1.8,0.6,13.9,70.3,3.3,0.0,10.8,0.0,0.3,1.5,80.5,7.3,12.2,94.3,5.7,81064,33089,356277,8.5,91.5
Ocean,338676,3727,1.1004617982968974,24.230533016806625,39.6181010759546,35.12501623970993,1.0263496675288477,82063,3476,134177,118960,615.0,88.0,1380.0,1644.0,0.7,1.0,2.5,1.4,9.5,84.1,3.0,0.0,1.6,0.0,0.2,1.5,90.4,3.7,5.9,98.1,1.9,60454,45438,415058,9.9,90.1
Passaic,210776,1797,0.8525638592629142,42.12339165749421,23.975689831859416,32.78504194025885,1.1158765703875204,88786,2352,50535,69103,609.0,37.0,279.0,872.0,0.7,0.6,1.6,1.3,42.9,40.3,10.4,0.1,5.1,0.0,0.1,1.0,59.9,27.7,12.4,83.5,16.5,48493,75045,307763,19.6,80.4
Salem,33022,572,1.73217854763491,33.671491732784204,32.015020289503966,33.28084307431409,1.0326449033977347,11119,341,10572,10990,187.0,11.0,136.0,238.0,1.7,1.3,3.2,2.2,9.8,73.2,12.7,0.3,1.1,0.4,0.2,2.3,93.7,4.6,1.7,97.5,2.5,57340,7066,42190,14.3,85.7
Somerset,183143,2369,1.2935247320399907,37.08140633275637,27.61394101876676,34.557695352811734,0.7469572956651359,67912,1368,50573,63290,835.0,46.0,527.0,961.0,1.2,1.0,3.4,1.5,15.2,53.6,9.5,0.1,18.5,0.0,1.8,1.3,71.4,9.9,18.7,93.4,6.6,81377,22156,236021,8.6,91.4
Sussex,87304,992,1.136259507009988,24.167277558874737,45.1949509759003,29.428204893246583,1.2095665719783746,21099,1056,39457,25692,195.0,25.0,337.0,441.0,0.9,0.9,2.4,1.7,9.2,84.9,2.4,0.0,1.8,0.0,0.1,1.5,90.3,4.3,5.4,97.6,2.4,68713,10514,102728,9.3,90.7
Union,243523,6284,2.580454412930196,51.267436751354076,17.382341708996687,30.49773532684798,0.8524862128012549,124848,2076,42330,74269,3011.0,98.0,929.0,2250.0,2.4,2.2,4.7,3.0,32.8,37.8,19.9,0.1,5.3,0.0,2.5,1.6,63.8,21.4,14.8,87.5,12.5,52001,69459,356833,16.3,83.7
Warren,60053,970,1.6152398714468883,27.092734750969978,42.78387424441743,29.157577473231978,0.9658135313806138,16270,580,25693,17510,192.0,17.0,372.0,389.0,1.2,1.4,2.9,2.2,10.2,80.2,4.7,0.0,2.3,0.0,0.3,2.3,90.8,4.7,4.5,98.1,1.9,67667,8063,76852,9.5,90.5
