county,Democratic Ballot Received After Deadline,Democratic Certificate Missing,Democratic Certificate Not Signed,Democratic Grouped_together,Democratic Other,Democratic Signature Does Not Match,Other Ballot Received After Deadline,Other Certificate Missing,Other Certificate Not Signed,Other Grouped_together,Other Other,Other Signature Does Not Match,Republican Ballot Received After Deadline,Republican Certificate Missing,Republican Certificate Not Signed,Republican Grouped_together,Republican Other,Republican Signature Does Not Match,Unaffiliated Ballot Received After Deadline,Unaffiliated Certificate Missing,Unaffiliated Certificate Not Signed,Unaffiliated Grouped_together,Unaffiliated Other,Unaffiliated Signature Does Not Match,Ballot Received After Deadline,Certificate Missing,Certificate Not Signed,Grouped together,Other Reasons,Signature Does Not Match,Total_Rejected_Ballots,Ballot Received After Deadline(%),Certificate Missing(%),Certificate Not Signed(%),Grouped together(%),Other Reasons(%),Signature Does Not Match(%)
Atlantic,42.0,0.0,20.0,1.0,9.0,208.0,4.0,0.0,1.0,0.0,0.0,27.0,27.0,0.0,11.0,3.0,7.0,130.0,62.0,0.0,26.0,1.0,17.0,314.0,135.0,0.0,58.0,5.0,33.0,679.0,910,14.84,0.0,6.37,0.55,3.63,74.62
Bergen,121.0,1328.0,168.0,126.0,92.0,283.0,6.0,71.0,9.0,3.0,8.0,14.0,55.0,836.0,84.0,87.0,61.0,149.0,179.0,1457.0,147.0,196.0,103.0,403.0,361.0,3692.0,408.0,412.0,264.0,849.0,5986,6.03,61.68,6.82,6.88,4.41,14.18
Burlington,48.0,8.0,73.0,67.0,79.0,398.0,6.0,0.0,3.0,2.0,2.0,19.0,21.0,8.0,52.0,35.0,52.0,221.0,79.0,5.0,94.0,94.0,82.0,463.0,154.0,21.0,222.0,198.0,215.0,1101.0,1911,8.06,1.1,11.62,10.36,11.25,57.61
Camden,0.0,0.0,84.0,157.0,1.0,67.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,18.0,45.0,0.0,18.0,0.0,0.0,58.0,203.0,0.0,67.0,0.0,0.0,162.0,407.0,1.0,153.0,703,0.0,0.0,23.04,57.89,0.14,21.76
Cape May,6.0,14.0,2.0,0.0,36.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,74.0,0.0,0.0,57.0,1.0,16.0,61.0,0.0,3.0,83.0,1.0,31.0,150.0,2.0,3.0,179.0,3.0,367,8.45,40.87,0.54,0.82,48.77,0.82
Cumberland,14.0,39.0,42.0,36.0,5.0,105.0,0.0,4.0,4.0,2.0,0.0,9.0,12.0,12.0,21.0,25.0,9.0,62.0,37.0,28.0,45.0,33.0,7.0,211.0,63.0,83.0,112.0,96.0,21.0,387.0,761,8.28,10.91,14.72,12.61,2.76,50.85
Essex,0.0,4.0,448.0,161.0,58.0,444.0,0.0,0.0,8.0,3.0,2.0,10.0,0.0,0.0,68.0,34.0,14.0,72.0,0.0,0.0,335.0,87.0,49.0,387.0,0.0,4.0,859.0,285.0,123.0,913.0,2184,0.0,0.18,39.33,13.05,5.63,41.8
Gloucester,1.0,0.0,18.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,1.0,7.0,2.0,0.0,19.0,7.0,1.0,10.0,4.0,0.0,46.0,27.0,3.0,20.0,100,4.0,0.0,46.0,27.0,3.0,20.0
Hudson,159.0,1422.0,248.0,119.0,45.0,1040.0,8.0,51.0,15.0,4.0,1.0,63.0,27.0,301.0,35.0,17.0,8.0,240.0,168.0,698.0,106.0,50.0,23.0,757.0,362.0,2472.0,404.0,190.0,77.0,2100.0,5605,6.46,44.1,7.21,3.39,1.37,37.47
Hunterdon,3.0,58.0,15.0,4.0,1.0,18.0,1.0,7.0,2.0,0.0,0.0,2.0,9.0,110.0,49.0,21.0,4.0,39.0,27.0,101.0,59.0,13.0,7.0,70.0,40.0,276.0,125.0,38.0,12.0,129.0,618,6.47,44.66,20.23,6.15,1.94,20.87
