,name,18_24_years,over_25,25_34_years,45_64_years,over_65
1,"Atlantic County, New Jersey",24683,183492,30123,72771,49115
2,"Bergen County, New Jersey",74163,661729,108207,265097,164611
3,"Burlington County, New Jersey",36899,316291,56063,127552,77364
4,"Camden County, New Jersey",41040,351426,70845,134264,81659
5,"Cape May County, New Jersey",6132,69957,9238,27053,24821
6,"Cumberland County, New Jersey",11270,102701,22023,37399,23504
7,"Essex County, New Jersey",69333,540264,110494,207875,111075
8,"Gloucester County, New Jersey",25981,202556,34872,83191,47324
9,"Hudson County, New Jersey",52068,483796,141570,152380,82160
10,"Hunterdon County, New Jersey",9882,90777,12105,40195,24309
11,"Mercer County, New Jersey",41153,248215,45746,98624,57487
12,"Middlesex County, New Jersey",76973,569641,109141,219136,127762
13,"Monmouth County, New Jersey",49925,439267,68193,187259,112384
14,"Morris County, New Jersey",41892,347474,54285,146989,86212
15,"Ocean County, New Jersey",43993,416503,66955,149681,138329
16,"Passaic County, New Jersey",48205,334603,67982,128836,75179
17,"Salem County, New Jersey",5015,44241,6725,17543,12349
18,"Somerset County, New Jersey",27734,230443,35806,99294,53187
19,"Sussex County, New Jersey",11404,101838,15139,45280,24619
20,"Union County, New Jersey",46439,379853,70617,150692,81763
21,"Warren County, New Jersey",8753,76162,12329,32481,19862
