,county,18_24_less_HS_HSgrad%,18_24_associate_bachelor%,over_25_less_than_HS%,over_25_HS_grad_or_higher%,over_25_bachelors_or_higher%
1,"Atlantic County, New Jersey",39.5,60.5,12.4,87.6,28.2
2,"Bergen County, New Jersey",32.1,67.9,7.1,92.9,52.0
3,"Burlington County, New Jersey",44.7,55.3,5.9,94.1,39.5
4,"Camden County, New Jersey",45.8,54.2,10.3,89.7,33.6
5,"Cape May County, New Jersey",55.4,44.6,6.5,93.5,32.1
6,"Cumberland County, New Jersey",56.0,44.0,18.8,81.2,16.1
7,"Essex County, New Jersey",46.2,53.8,13.2,86.8,35.7
8,"Gloucester County, New Jersey",33.0,67.0,7.0,93.0,34.0
9,"Hudson County, New Jersey",35.4,64.6,14.3,85.7,45.2
10,"Hunterdon County, New Jersey",45.3,54.7,5.7,94.3,54.1
11,"Mercer County, New Jersey",31.7,68.3,11.2,88.8,44.5
12,"Middlesex County, New Jersey",34.4,65.6,11.1,88.9,43.8
13,"Monmouth County, New Jersey",34.5,65.5,5.2,94.8,48.2
14,"Morris County, New Jersey",36.2,63.8,5.2,94.8,56.5
15,"Ocean County, New Jersey",36.4,63.6,7.1,92.9,32.3
16,"Passaic County, New Jersey",54.0,46.0,14.6,85.4,29.1
17,"Salem County, New Jersey",32.4,67.6,12.3,87.7,20.0
18,"Somerset County, New Jersey",33.8,66.2,5.5,94.5,56.0
19,"Sussex County, New Jersey",41.9,58.1,5.6,94.4,38.1
20,"Union County, New Jersey",37.6,62.4,13.7,86.3,37.2
21,"Warren County, New Jersey",34.4,65.6,6.6,93.4,33.9
