,county,Ballot Received After Deadline(%),Certificate Missing(%),Certificate Not Signed(%),Grouped together(%),Other Reasons(%),Signature Does Not Match(%),County ballots_cast,County ballots_rejected,County percent_rejected,County Percent Hispanic or Latino,County Percent White,County Percent Black or African American,County Percent American Indian and Alaska Native,County Percent Asian,County Percent Native Hawaiian and Other Pacific Islander,County Percent Other Race,County Percent Two or more races,County percent_english,County percent_spanish,County percent_other,County percent_english_very_well,County percent_english_not_very_well,County median_earnings,County HS_and_less,County more_than_HS,County %HS_and_less,County more_than_HS%
0,Atlantic,14.84,0.0,6.37,0.55,3.63,74.62,135484,910,0.6716660269847362,19.4,55.9,13.7,0.2,7.8,0.2,0.1,2.7,79.4,11.1,9.5,92.6,7.4,45935,32464,175711,15.6,84.4
1,Bergen,6.03,61.68,6.82,6.88,4.41,14.18,476733,5986,1.2556294613546786,21.0,55.0,5.1,0.1,16.4,0.1,0.3,2.0,64.5,14.0,21.5,89.0,11.0,72267,70554,665338,9.6,90.4
2,Burlington,8.06,1.1,11.62,10.36,11.25,57.61,253339,1911,0.7543252321987535,8.5,66.4,16.4,0.0,5.1,0.0,0.4,3.2,88.4,3.9,7.7,96.6,3.4,61748,35189,318001,10.0,90.0
3,Camden,0.0,0.0,23.04,57.89,0.14,21.76,246440,703,0.2852621327706541,17.6,55.6,18.4,0.1,5.7,0.0,0.5,2.2,84.6,9.7,5.7,94.4,5.6,51486,55085,337381,14.0,86.0
4,Cape May,8.45,40.87,0.54,0.82,48.77,0.82,56565,367,0.6488111022717228,8.1,85.0,4.2,0.0,0.5,0.0,0.0,2.2,95.5,2.4,2.1,99.0,1.0,51483,7929,68160,10.4,89.6
5,Cumberland,8.28,10.91,14.72,12.61,2.76,50.85,60047,761,1.267340583209819,31.8,45.4,18.0,0.9,1.2,0.0,0.0,2.6,78.7,17.8,3.5,92.0,8.0,34905,25602,88369,22.5,77.5
6,Essex,0.0,0.18,39.33,13.05,5.63,41.8,307537,2184,0.7101584524788886,23.8,29.8,38.4,0.2,5.4,0.0,0.9,1.5,70.6,15.8,13.5,90.1,9.9,51029,103304,506293,16.9,83.1
7,Gloucester,4.0,0.0,46.0,27.0,3.0,20.0,170985,100,0.05848466239728632,6.7,77.7,10.3,0.0,3.1,0.0,0.1,2.0,91.0,3.9,5.1,97.9,2.1,64004,22770,205767,10.0,90.0
8,Hudson,6.46,44.1,7.21,3.39,1.37,37.47,224243,5605,2.499520609338976,42.7,28.8,10.3,0.1,15.3,0.0,0.5,2.2,50.9,32.8,16.3,81.7,18.3,58372,87458,448406,16.3,83.7
9,Hunterdon,6.47,44.66,20.23,6.15,1.94,20.87,84247,618,0.7335572780039645,7.0,84.3,2.4,0.0,4.2,0.0,0.5,1.6,90.6,2.7,6.7,98.1,1.9,80882,9679,90980,9.6,90.4
10,Mercer,9.82,14.76,24.43,5.56,17.28,28.16,169955,1314,0.7731458327204259,18.5,48.2,19.4,0.2,11.8,0.1,0.1,1.8,77.0,9.7,13.3,92.5,7.5,57023,40924,248444,14.1,85.9
11,Middlesex,0.03,0.22,54.25,7.18,4.12,34.23,355993,6837,1.9205433814709842,22.1,41.6,9.2,0.1,24.4,0.1,0.4,2.2,60.6,16.3,23.2,88.7,11.3,65047,89880,556734,13.9,86.1
12,Monmouth,4.24,0.09,4.92,10.25,53.03,27.48,377148,5403,1.4325941009895318,11.1,74.9,6.7,0.0,5.3,0.0,0.3,1.6,85.0,5.3,9.7,95.9,4.1,76140,40266,448926,8.2,91.8
13,Morris,17.02,0.18,23.71,7.58,28.43,33.6,293123,1122,0.3827744666914572,13.9,70.3,3.3,0.0,10.8,0.0,0.3,1.5,80.5,7.3,12.2,94.3,5.7,81064,33089,356277,8.5,91.5
14,Ocean,0.0,18.0,13.55,10.38,10.25,47.81,338676,3727,1.1004617982968974,9.5,84.1,3.0,0.0,1.6,0.0,0.2,1.5,90.4,3.7,5.9,98.1,1.9,60454,45438,415058,9.9,90.1
15,Passaic,0.0,0.06,11.85,21.59,22.54,43.96,210776,1797,0.8525638592629142,42.9,40.3,10.4,0.1,5.1,0.0,0.1,1.0,59.9,27.7,12.4,83.5,16.5,48493,75045,307763,19.6,80.4
16,Salem,0.35,42.13,27.1,1.75,0.87,27.8,33022,572,1.73217854763491,9.8,73.2,12.7,0.3,1.1,0.4,0.2,2.3,93.7,4.6,1.7,97.5,2.5,57340,7066,42190,14.3,85.7
17,Somerset,0.0,8.4,4.98,5.07,64.29,17.26,183143,2369,1.2935247320399907,15.2,53.6,9.5,0.1,18.5,0.0,1.8,1.3,71.4,9.9,18.7,93.4,6.6,81377,22156,236021,8.6,91.4
18,Sussex,4.94,0.3,12.1,6.45,2.82,73.99,87304,992,1.136259507009988,9.2,84.9,2.4,0.0,1.8,0.0,0.1,1.5,90.3,4.3,5.4,97.6,2.4,68713,10514,102728,9.3,90.7
19,Union,3.71,55.55,12.22,5.54,1.0,22.04,243523,6284,2.580454412930196,32.8,37.8,19.9,0.1,5.3,0.0,2.5,1.6,63.8,21.4,14.8,87.5,12.5,52001,69459,356833,16.3,83.7
20,Warren,2.16,24.74,3.61,0.72,1.24,67.53,60053,970,1.6152398714468883,10.2,80.2,4.7,0.0,2.3,0.0,0.3,2.3,90.8,4.7,4.5,98.1,1.9,67667,8063,76852,9.5,90.5
