,ballot_county,DemTotal,OtherTotal,RepubTotal,UnaffTotal,Democratic,Other,Republican,Unaffiliated,Dem_per_totalCountyDem%,Repub_per_totalCountyRep%,Other_per_totalCountyOther%,Unaff_per_totalCountyUnaff%
0,Atlantic,51716,1364,42689,39715,280.0,32.0,178.0,420.0,0.5,0.4,2.3,1.1
1,Bergen,195245,3483,112464,165541,2118.0,111.0,1272.0,2485.0,1.1,1.1,3.2,1.5
2,Burlington,106989,2005,70171,74174,673.0,32.0,389.0,817.0,0.6,0.6,1.6,1.1
3,Camden,130291,2327,43641,70181,309.0,5.0,81.0,328.0,0.2,0.2,0.2,0.5
4,Cape May,14880,401,25648,15636,59.0,4.0,141.0,164.0,0.4,0.5,1.0,1.0
5,Cumberland,23799,800,16540,18908,241.0,19.0,141.0,361.0,1.0,0.9,2.4,1.9
6,Essex,176164,1860,36458,93055,1115.0,23.0,188.0,858.0,0.6,0.5,1.2,0.9
7,Gloucester,71906,1588,44763,52728,35.0,0.0,26.0,39.0,0.0,0.1,0.0,0.1
8,Hudson,138818,2480,23369,59576,3033.0,142.0,628.0,1802.0,2.2,2.7,5.7,3.0
9,Hunterdon,24073,535,35006,24633,99.0,12.0,232.0,277.0,0.4,0.7,2.2,1.1
10,Mercer,80907,1718,28749,58581,558.0,32.0,180.0,544.0,0.7,0.6,1.9,0.9
11,Middlesex,164065,3458,62099,126371,2534.0,170.0,918.0,3217.0,1.5,1.5,4.9,2.5
12,Monmouth,115375,3455,116607,141711,1412.0,107.0,1530.0,2355.0,1.2,1.3,3.1,1.7
13,Morris,89285,2227,108149,93462,320.0,41.0,349.0,530.0,0.4,0.3,1.8,0.6
14,Ocean,82063,3476,134177,118960,615.0,88.0,1380.0,1644.0,0.7,1.0,2.5,1.4
15,Passaic,88786,2352,50535,69103,609.0,37.0,279.0,872.0,0.7,0.6,1.6,1.3
16,Salem,11119,341,10572,10990,187.0,11.0,136.0,238.0,1.7,1.3,3.2,2.2
17,Somerset,67912,1368,50573,63290,835.0,46.0,527.0,961.0,1.2,1.0,3.4,1.5
18,Sussex,21099,1056,39457,25692,195.0,25.0,337.0,441.0,0.9,0.9,2.4,1.7
19,Union,124848,2076,42330,74269,3011.0,98.0,929.0,2250.0,2.4,2.2,4.7,3.0
20,Warren,16270,580,25693,17510,192.0,17.0,372.0,389.0,1.2,1.4,2.9,2.2
