index,county,Democratic Ballot Received After Deadline,Democratic Certificate Missing,Democratic Certificate Not Signed,Democratic Grouped_together,Democratic Other,Democratic Signature Does Not Match,Other Ballot Received After Deadline,Other Certificate Missing,Other Certificate Not Signed,Other Grouped_together,Other Other,Other Signature Does Not Match,Republican Ballot Received After Deadline,Republican Certificate Missing,Republican Certificate Not Signed,Republican Grouped_together,Republican Other,Republican Signature Does Not Match,Unaffiliated Ballot Received After Deadline,Unaffiliated Certificate Missing,Unaffiliated Certificate Not Signed,Unaffiliated Grouped_together,Unaffiliated Other,Unaffiliated Signature Does Not Match
0,Atlantic,42.0,0.0,20.0,1.0,9.0,208.0,4.0,0.0,1.0,0.0,0.0,27.0,27.0,0.0,11.0,3.0,7.0,130.0,62.0,0.0,26.0,1.0,17.0,314.0
1,Bergen,121.0,1328.0,168.0,126.0,92.0,283.0,6.0,71.0,9.0,3.0,8.0,14.0,55.0,836.0,84.0,87.0,61.0,149.0,179.0,1457.0,147.0,196.0,103.0,403.0
2,Burlington,48.0,8.0,73.0,67.0,79.0,398.0,6.0,0.0,3.0,2.0,2.0,19.0,21.0,8.0,52.0,35.0,52.0,221.0,79.0,5.0,94.0,94.0,82.0,463.0
3,Camden,0.0,0.0,84.0,157.0,1.0,67.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,18.0,45.0,0.0,18.0,0.0,0.0,58.0,203.0,0.0,67.0
4,Cape May,6.0,14.0,2.0,0.0,36.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,74.0,0.0,0.0,57.0,1.0,16.0,61.0,0.0,3.0,83.0,1.0
5,Cumberland,14.0,39.0,42.0,36.0,5.0,105.0,0.0,4.0,4.0,2.0,0.0,9.0,12.0,12.0,21.0,25.0,9.0,62.0,37.0,28.0,45.0,33.0,7.0,211.0
6,Essex,0.0,4.0,448.0,161.0,58.0,444.0,0.0,0.0,8.0,3.0,2.0,10.0,0.0,0.0,68.0,34.0,14.0,72.0,0.0,0.0,335.0,87.0,49.0,387.0
7,Gloucester,1.0,0.0,18.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,1.0,7.0,2.0,0.0,19.0,7.0,1.0,10.0
8,Hudson,159.0,1422.0,248.0,119.0,45.0,1040.0,8.0,51.0,15.0,4.0,1.0,63.0,27.0,301.0,35.0,17.0,8.0,240.0,168.0,698.0,106.0,50.0,23.0,757.0
9,Hunterdon,3.0,58.0,15.0,4.0,1.0,18.0,1.0,7.0,2.0,0.0,0.0,2.0,9.0,110.0,49.0,21.0,4.0,39.0,27.0,101.0,59.0,13.0,7.0,70.0
10,Mercer,55.0,93.0,136.0,34.0,93.0,147.0,2.0,6.0,8.0,3.0,1.0,12.0,16.0,24.0,44.0,17.0,27.0,52.0,56.0,71.0,133.0,19.0,106.0,159.0
11,Middlesex,1.0,4.0,1411.0,202.0,85.0,831.0,0.0,1.0,86.0,6.0,10.0,67.0,0.0,4.0,428.0,79.0,72.0,335.0,1.0,6.0,1784.0,204.0,115.0,1107.0
12,Monmouth,46.0,0.0,63.0,151.0,830.0,322.0,5.0,0.0,5.0,9.0,53.0,35.0,57.0,3.0,82.0,173.0,851.0,364.0,121.0,2.0,116.0,221.0,1131.0,764.0
13,Morris,36.0,1.0,57.0,32.0,88.0,106.0,7.0,0.0,14.0,1.0,9.0,10.0,48.0,1.0,75.0,23.0,111.0,91.0,100.0,0.0,120.0,29.0,111.0,170.0
14,Ocean,0.0,117.0,118.0,63.0,84.0,233.0,0.0,22.0,11.0,2.0,12.0,41.0,0.0,235.0,178.0,184.0,141.0,642.0,0.0,297.0,198.0,138.0,145.0,866.0
15,Passaic,0.0,1.0,102.0,75.0,177.0,254.0,0.0,0.0,8.0,1.0,4.0,24.0,0.0,0.0,36.0,44.0,70.0,129.0,0.0,0.0,67.0,268.0,154.0,383.0
16,Salem,2.0,79.0,60.0,5.0,4.0,37.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,58.0,31.0,2.0,0.0,45.0,0.0,102.0,59.0,3.0,1.0,73.0
17,Somerset,0.0,61.0,45.0,45.0,554.0,130.0,0.0,2.0,1.0,1.0,31.0,11.0,0.0,56.0,21.0,21.0,359.0,70.0,0.0,80.0,51.0,53.0,579.0,198.0
18,Sussex,12.0,1.0,19.0,13.0,5.0,145.0,0.0,0.0,3.0,1.0,1.0,20.0,13.0,1.0,48.0,37.0,16.0,222.0,24.0,1.0,50.0,13.0,6.0,347.0
19,Union,88.0,1717.0,402.0,168.0,33.0,603.0,6.0,47.0,12.0,4.0,2.0,27.0,26.0,580.0,102.0,50.0,7.0,164.0,113.0,1147.0,252.0,126.0,21.0,591.0
20,Warren,4.0,45.0,6.0,2.0,3.0,132.0,1.0,6.0,0.0,0.0,0.0,10.0,6.0,95.0,16.0,3.0,8.0,244.0,10.0,94.0,13.0,2.0,1.0,269.0
